,actor,critic,policy,reward
124,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.2}",
125,,,"{'operation': 2, 'magnitude': 3, 'probability': 0.4}",
126,,,"{'operation': 0, 'magnitude': 0, 'probability': 0.7}",
127,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.6}",
128,,,"{'operation': 4, 'magnitude': 0, 'probability': 0.1}",
129,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.5}",
130,,,"{'operation': 2, 'magnitude': 0, 'probability': 0.1}",
131,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.1}",
132,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.8}",
133,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.6}",
134,,,"{'operation': 5, 'magnitude': 1, 'probability': 0.0}",
135,,,"{'operation': 3, 'magnitude': 4, 'probability': 0.3}",
136,,,"{'operation': 1, 'magnitude': 2, 'probability': 0.5}",
137,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.8}",
138,,,"{'operation': 3, 'magnitude': 1, 'probability': 0.8}",
139,,,"{'operation': 3, 'magnitude': 0, 'probability': 0.6}",
140,,,"{'operation': 5, 'magnitude': 2, 'probability': 0.6}",
141,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.6}",
142,,,"{'operation': 5, 'magnitude': 3, 'probability': 0.2}",
143,,,"{'operation': 1, 'magnitude': 3, 'probability': 0.8}",
144,,,"{'operation': 2, 'magnitude': 4, 'probability': 0.8}",
145,,,"{'operation': 4, 'magnitude': 3, 'probability': 0.3}",
146,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.7}",
147,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.1}",
148,,,"{'operation': 3, 'magnitude': 3, 'probability': 0.5}",
149,,,"{'operation': 2, 'magnitude': 2, 'probability': 0.1}",
150,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.5}",
151,,,"{'operation': 4, 'magnitude': 4, 'probability': 0.6}",
152,,,"{'operation': 2, 'magnitude': 1, 'probability': 0.0}",
153,,,"{'operation': 0, 'magnitude': 1, 'probability': 0.8}",
154,,,"{'operation': 0, 'magnitude': 4, 'probability': 0.7}",
155,,,"{'operation': 1, 'magnitude': 0, 'probability': 0.1}",
